test_id,q1_skills,q3_answer,q4_worklife,q5_neg,rec1,match1%,rec2,match2%,rec3,match3%,rec4,match4%,rec5,match5%
"090 — Architecture (Highpay)","შემ.+ხ.ხ.+მათ.","შენ-არქ.","მ.ხ.+კრეატ.","-","არქიტექტურა",62,"დიზაინი / სახ. ხელ.",26,"სამოქალაქო ინჟინერია",24,"მუსიკა / თეატ. / კინო",24,"ფინანსები / ეკონ.",19
"091 — Medicine (General)","ზ.მეცნ.+დახ.+კვლ.","მედ-ექ.","მ.ხ.+ადამ.","-","მედიცინა",78,"ბიომედ. მეცნ.",21,"ფსიქოლოგია",18,"განათლება / პედ.",18,"სოციალური მუშ.",17
"092 — Medicine (Surgeon)","ზ.მეცნ.+ხ.+ტ.+ლოგ.","მედ-ქირ.","მ.ხ.+სტაბ.","-","მედიცინა",55,"მექატრონიკა / რობოტიკა",27,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სტომატოლოგია",24
"093 — Medicine (Pediatrics)","დახ.+ზ.მეცნ.+კომ.","მედ-ბავ.","ადამ.+დახ.","სტრ.","მედიცინა",52,"ფსიქოლოგია",41,"ექთნობა / მედდა",30,"სოციალური მუშ.",30,"განათლება / პედ.",27
"094 — Medicine (Diagnosis)","ზ.მეცნ.+დახ.+ანალ.","ჯანდ-დიაგ.","მ.ხ.+ადამ.","-","მედიცინა",73,"ფსიქოლოგია",18,"ფინანსები / ეკონ.",18,"განათლება / პედ.",18,"სოციალური მუშ.",17
"095 — Medicine (Emergency)","ზ.მეცნ.+ხ.+ტ.+დახ.","მედ-გად.","მ.ხ.+ადამ.","-","მედიცინა",73,"ექთნობა / მედდა",48,"ფსიქოლოგია",18,"განათლება / პედ.",18,"სოციალური მუშ.",17
"096 — Medicine (+Research)","ზ.მეცნ.+კვლ.+ანალ.","მედ-ექ.","მ.ხ.+კვლ.","ად.კ.","მედიცინა",53,"ბიომედ. მეცნ.",35,"საბუნ. მეცნ.",30,"მონაცემები / სტატ. / AI",23,"ფარმაცია",22
"097 — Medicine (MentalPath)","დახ.+ანალ.+წ.","მედ-ფს.","ადამ.+დახ.","-","ფსიქოლოგია",70,"მედიცინა",44,"სოციალური მუშ.",39,"ექთნობა / მედდა",30,"განათლება / პედ.",27
"098 — Medicine (+Helping)","ზ.მეცნ.+დახ.+კომ.","მედ-ბავ.","ადამ.+დახ.","-","მედიცინა",72,"ფსიქოლოგია",41,"ექთნობა / მედდა",30,"სოციალური მუშ.",30,"განათლება / პედ.",27
"099 — Medicine (AltHmed)","ზ.მეცნ.+დახ.+კვლ.","ჯანდ-დიაგ.","მ.ხ.+სტაბ.","-","მედიცინა",67,"საზ. ჯანდაცვა",29,"ფარმაცია",21,"ბიომედ. მეცნ.",21,"სამართალი",21
"100 — Medicine (Surgeon2)","ზ.მეცნ.+ლიდ.+ხ.+ტ.","მედ-ქირ.","მ.ხ.+ლიდ.","-","მედიცინა",55,"ბიზ. ადმინისტ.",27,"სამართალი",24,"საერთ. ურთ. / პოლიტ.",17,"მექ. ინჟინერია",16
"101 — Dentistry (Core)","ზ.მეცნ.+ხ.+ტ.+ლოგ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","სტრ.","სტომატოლოგია",53,"მექატრონიკა / რობოტიკა",27,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამოქალაქო ინჟინერია",23
"102 — Dentistry (+Visual)","ზ.მეცნ.+ხ.+ტ.+ხ.ხ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","-","სტომატოლოგია",62,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"მედიცინა",24,"სამოქალაქო ინჟინერია",23
"103 — Dentistry (+Analysis)","ხ.+ტ.+ზ.მეცნ.+ანალ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","სტრ.","სტომატოლოგია",50,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამოქალაქო ინჟინერია",23,"მექატრონიკა / რობოტიკა",21
"104 — Dentistry (+Creativity)","ზ.მეცნ.+ხ.+ტ.+შემ.","ჯანდ-სტომ.","სტაბ.+მ.ხ.","-","სტომატოლოგია",59,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"მედიცინა",24,"სამოქალაქო ინჟინერია",23
"105 — Dentistry (no people)","ზ.მეცნ.+ხ.+ტ.+ორგ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","ად.კ.","სტომატოლოგია",59,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამოქალაქო ინჟინერია",23,"ბიზ. ადმინისტ.",23
"106 — Dentistry (+Research)","ხ.+ტ.+ზ.მეცნ.+კვლ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","-","სტომატოლოგია",59,"მედიცინა",29,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამოქალაქო ინჟინერია",23
"107 — Dentistry (+Math)","ზ.მეცნ.+მათ.+ხ.+ტ.","ჯანდ-სტომ.","მ.ხ.+სტაბ.","სტრ.","სტომატოლოგია",50,"სამოქალაქო ინჟინერია",27,"მექატრონიკა / რობოტიკა",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25
"108 — Dentistry (StablePath)","ზ.მეცნ.+ხ.+ტ.+სწ.სწ.","ჯანდ-სტომ.","სტაბ.+მ.ხ.","-","სტომატოლოგია",59,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"მედიცინა",24,"სამოქალაქო ინჟინერია",23
"109 — Pharmacy (Core)","ზ.მეცნ.+კვლ.+ლოგ.","ჯანდ-ფარმ.","კვლ.+სტაბ.","-","ფარმაცია",76,"საბუნ. მეცნ.",40,"ბიომედ. მეცნ.",39,"მონაცემები / სტატ. / AI",24,"მედიცინა",17
"110 — Pharmacy (+Analysis)","ზ.მეცნ.+კვლ.+ანალ.","ჯანდ-ფარმ.","კვლ.+დ.მ.","-","ფარმაცია",61,"საბუნ. მეცნ.",48,"ბიომედ. მეცნ.",39,"მონაცემები / სტატ. / AI",35,"ჰუმანიტ. მეცნ.",22
"111 — Pharmacy (+Writing)","ზ.მეცნ.+კვლ.+წ.","ჯანდ-ფარმ.","კვლ.+სტაბ.","-","ფარმაცია",72,"ბიომედ. მეცნ.",39,"საბუნ. მეცნ.",35,"ჰუმანიტ. მეცნ.",21,"მონაცემები / სტატ. / AI",17
"112 — Pharmacy (no people)","ზ.მეცნ.+ანალ.+ორგ.","ჯანდ-ფარმ.","სტაბ.+მ.ხ.","ად.კ.","ფარმაცია",55,"სამართალი",26,"ბიზ. ადმინისტ.",23,"ბიომედ. მეცნ.",19,"საბუნ. მეცნ.",19
"113 — Pharmacy (+Math)","კვლ.+ზ.მეცნ.+მათ.","ჯანდ-ფარმ.","კვლ.+სტაბ.","-","ფარმაცია",76,"საბუნ. მეცნ.",41,"ბიომედ. მეცნ.",39,"მონაცემები / სტატ. / AI",24,"მედიცინა",17
"114 — Pharmacy (FastLearner)","ზ.მეცნ.+კვლ.+სწ.სწ.","ჯანდ-ფარმ.","კვლ.+სტაბ.","სტრ.","ფარმაცია",72,"ბიომედ. მეცნ.",39,"საბუნ. მეცნ.",35,"მონაცემები / სტატ. / AI",22,"საზ. ჯანდაცვა",17
"115 — Pharmacy (NatSci path)","ზ.მეცნ.+კვლ.+ანალ.","ბუნ-ქიმ.","კვლ.+სტაბ.","ად.კ.","საბუნ. მეცნ.",69,"ფარმაცია",47,"ბიომედ. მეცნ.",35,"მონაცემები / სტატ. / AI",23,"საზ. ჯანდაცვა",20
"116 — Pharmacy (Highpay)","ზ.მეცნ.+კვლ.+ლოგ.","ჯანდ-ფარმ.","მ.ხ.+სტაბ.","-","ფარმაცია",64,"საბუნ. მეცნ.",27,"ბიომედ. მეცნ.",25,"სტომატოლოგია",22,"მექატრონიკა / რობოტიკა",21
"117 — Physio (Core)","დახ.+სპ.+ხ.+ტ.","ჯანდ-ფიზ.","აქტ.+დახ.","ოფ.","ფიზიოთერაპია",74,"მედიცინა",32,"სპორტი / ფიზ. განათ.",31,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"118 — Physio (SportPath)","სპ.+დახ.+ხ.+ტ.","სპ-ფ.თ.","აქტ.+დახ.","ოფ.","ფიზიოთერაპია",74,"სპორტი / ფიზ. განათ.",37,"მედიცინა",33,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"119 — Physio (+Comm)","დახ.+სპ.+კომ.","ჯანდ-ფიზ.","აქტ.+ადამ.","ოფ.","ფიზიოთერაპია",72,"მედიცინა",32,"სპორტი / ფიზ. განათ.",31,"ფსიქოლოგია",18,"განათლება / პედ.",18
"120 — Physio (SpoPath2)","დახ.+ხ.+ტ.+სპ.","სპ-ფ.თ.","დახ.+აქტ.","-","ფიზიოთერაპია",74,"სპორტი / ფიზ. განათ.",37,"მედიცინა",33,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"121 — Physio (+Research)","დახ.+ხ.+ტ.+კვლ.","ჯანდ-ფიზ.","აქტ.+დახ.","ოფ.","ფიზიოთერაპია",69,"მედიცინა",37,"სპორტი / ფიზ. განათ.",24,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"122 — Physio (+ExactSci)","სპ.+დახ.+ზ.მეცნ.","სპ-ფ.თ.","აქტ.+დახ.","ოფ.","ფიზიოთერაპია",74,"მედიცინა",38,"სპორტი / ფიზ. განათ.",37,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"123 — Physio (no office)","დახ.+ხ.+ტ.+ორგ.","ჯანდ-ფიზ.","დახ.+ადამ.","ოფ.","ფიზიოთერაპია",65,"მედიცინა",36,"ექთნობა / მედდა",34,"განათლება / პედ.",32,"ფსიქოლოგია",31
"124 — Physio (AltNutr)","დახ.+კვლ.+ზ.მეცნ.","ჯანდ-კვება.","აქტ.+დახ.","-","საზ. ჯანდაცვა",57,"მედიცინა",44,"ფიზიოთერაპია",30,"საბუნ. მეცნ.",22,"ექთნობა / მედდა",19
"125 — PubHealth (Core)","კვლ.+დახ.+ანალ.","მედ-საჯ.","სტაბ.+დახ.","-","საზ. ჯანდაცვა",74,"მედიცინა",36,"ექთნობა / მედდა",32,"განათლება / პედ.",27,"ფსიქოლოგია",19
"126 — PubHealth (Nutrition)","დახ.+კვლ.+ანალ.","ჯანდ-კვება.","დახ.+აქტ.","-","საზ. ჯანდაცვა",61,"მედიცინა",39,"ფიზიოთერაპია",30,"ექთნობა / მედდა",19,"ფსიქოლოგია",19
"127 — PubHealth (+Comm)","კვლ.+ანალ.+კომ.","მედ-საჯ.","სტაბ.+ადამ.","-","საზ. ჯანდაცვა",59,"მედიცინა",29,"ექთნობა / მედდა",23,"განათლება / პედ.",23,"სამართალი",19
"128 — PubHealth (Nutr+Exact)","კვლ.+დახ.+ზ.მეცნ.","ჯანდ-კვება.","აქტ.+დახ.","-","საზ. ჯანდაცვა",57,"მედიცინა",44,"ფიზიოთერაპია",30,"საბუნ. მეცნ.",22,"ექთნობა / მედდა",19
"129 — PubHealth (no people)","ანალ.+კვლ.+წ.","მედ-საჯ.","კვლ.+სტაბ.","ად.კ.","საზ. ჯანდაცვა",59,"საბუნ. მეცნ.",32,"ფარმაცია",27,"მონაცემები / სტატ. / AI",23,"ჰუმანიტ. მეცნ.",21
"130 — PubHealth (OrgPath)","დახ.+ანალ.+ორგ.","მედ-საჯ.","სტაბ.+დახ.","-","საზ. ჯანდაცვა",70,"ექთნობა / მედდა",36,"განათლება / პედ.",32,"მედიცინა",31,"ფსიქოლოგია",19
"131 — PubHealth (Research)","კვლ.+ანალ.+ზ.მეცნ.","მედ-საჯ.","კვლ.+სტაბ.","-","საზ. ჯანდაცვა",59,"საბუნ. მეცნ.",39,"ფარმაცია",33,"მედიცინა",31,"ბიომედ. მეცნ.",25
"132 — Biomedical (LabPath)","კვლ.+ზ.მეცნ.+ანალ.","ჯანდ-ლაბ.","კვლ.+დ.მ.","ად.კ.","ბიომედ. მეცნ.",64,"საბუნ. მეცნ.",54,"მონაცემები / სტატ. / AI",35,"ფარმაცია",32,"ჰუმანიტ. მეცნ.",22
"133 — Biomedical (Genetics)","კვლ.+ზ.მეცნ.+ანალ.","ბუნ-გენ.","კვლ.+დ.მ.","-","ბიომედ. მეცნ.",64,"საბუნ. მეცნ.",54,"მონაცემები / სტატ. / AI",35,"ფარმაცია",32,"ჰუმანიტ. მეცნ.",22
"134 — Biomedical (Biology)","კვლ.+ზ.მეცნ.+მათ.","ბუნ-ბიოლ.","კვლ.+დ.მ.","ად.კ.","საბუნ. მეცნ.",80,"ბიომედ. მეცნ.",41,"მონაცემები / სტატ. / AI",36,"ფარმაცია",26,"ჰუმანიტ. მეცნ.",22
"135 — Biomedical (Lab2)","ზ.მეცნ.+კვლ.+მათ.","ჯანდ-ლაბ.","კვლ.+დ.მ.","ად.კ.","ბიომედ. მეცნ.",64,"საბუნ. მეცნ.",56,"მონაცემები / სტატ. / AI",36,"ფარმაცია",36,"ჰუმანიტ. მეცნ.",22
"136 — Biomedical (Chemistry)","ზ.მეცნ.+კვლ.+ანალ.","ბუნ-ქიმ.","კვლ.+დ.მ.","-","საბუნ. მეცნ.",78,"ფარმაცია",36,"მონაცემები / სტატ. / AI",35,"ბიომედ. მეცნ.",35,"ჰუმანიტ. მეცნ.",22
"137 — Biomedical (+Genetics2)","ზ.მეცნ.+კვლ.+ანალ.","ბუნ-გენ.","კვლ.+დ.მ.","ად.კ.","ბიომედ. მეცნ.",64,"საბუნ. მეცნ.",54,"მონაცემები / სტატ. / AI",35,"ფარმაცია",32,"ჰუმანიტ. მეცნ.",22
"138 — Biomedical (DataPath)","კვლ.+ანალ.+მათ.","DATA-კვლ.","კვლ.+დ.მ.","ად.კ.","საბუნ. მეცნ.",69,"მონაცემები / სტატ. / AI",57,"ჰუმანიტ. მეცნ.",31,"ფარმაცია",20,"ბიომედ. მეცნ.",19
"139 — Biomedical (Microbiol)","კვლ.+ზ.მეცნ.+წ.","ბუნ-გენ.","კვლ.+სტაბ.","-","ბიომედ. მეცნ.",64,"ფარმაცია",43,"საბუნ. მეცნ.",42,"ჰუმანიტ. მეცნ.",21,"მონაცემები / სტატ. / AI",17
"140 — Nursing (Emergency)","დახ.+ორგ.+კომ.","მედ-გად.","დახ.+სტაბ.","სტრ.","ექთნობა / მედდა",67,"მედიცინა",37,"განათლება / პედ.",32,"საზ. ჯანდაცვა",27,"ფსიქოლოგია",19
"141 — Nursing (+HandsTech)","დახ.+ორგ.+ხ.+ტ.","მედ-გად.","დახ.+სტაბ.","-","ექთნობა / მედდა",67,"მედიცინა",56,"განათლება / პედ.",32,"საზ. ჯანდაცვა",27,"ფსიქოლოგია",19
"142 — Nursing (Pediatrics)","დახ.+კომ.+ორგ.","მედ-ბავ.","ადამ.+დახ.","სტრ.","მედიცინა",48,"ფსიქოლოგია",41,"ექთნობა / მედდა",34,"განათლება / პედ.",32,"სოციალური მუშ.",30
"143 — Nursing (StableFocus)","დახ.+კომ.+ორგ.","მედ-გად.","სტაბ.+დახ.","სტრ.","ექთნობა / მედდა",67,"მედიცინა",37,"განათლება / პედ.",32,"საზ. ჯანდაცვა",27,"ფსიქოლოგია",19
"144 — Nursing (PeopleFocus)","დახ.+ორგ.+კომ.","მედ-გად.","დახ.+ადამ.","სტრ.","ექთნობა / მედდა",65,"მედიცინა",48,"განათლება / პედ.",32,"ფსიქოლოგია",31,"სოციალური მუშ.",30
"145 — Nursing (+Research)","დახ.+კვლ.+ზ.მეცნ.","მედ-საჯ.","დახ.+სტაბ.","-","საზ. ჯანდაცვა",70,"მედიცინა",41,"ექთნობა / მედდა",32,"განათლება / პედ.",27,"საბუნ. მეცნ.",22
"146 — Nursing (AltPath)","დახ.+ორგ.+ხ.+ტ.","მედ-გად.","დახ.+სტაბ.","-","ექთნობა / მედდა",67,"მედიცინა",56,"განათლება / პედ.",32,"საზ. ჯანდაცვა",27,"ფსიქოლოგია",19
"147 — Psychology (Therapy)","დახ.+წ.+ანალ.","ფს-თერ.","ადამ.+დახ.","ფიზ.","ფსიქოლოგია",70,"სოციალური მუშ.",44,"მედიცინა",37,"ექთნობა / მედდა",30,"განათლება / პედ.",27
"148 — Psychology (Child)","დახ.+ანალ.+კომ.","ფს-ბ.ფს.","ადამ.+დახ.","ფიზ.","ფსიქოლოგია",70,"განათლება / პედ.",41,"სოციალური მუშ.",39,"ექთნობა / მედდა",30,"მედიცინა",28
"149 — Psychology (OrgPsych)","ანალ.+ლიდ.+კომ.","ფს-ორგ.","ადამ.+ლიდ.","-","ფსიქოლოგია",50,"ბიზ. ადმინისტ.",37,"სამართალი",22,"საერთ. ურთ. / პოლიტ.",22,"სოციალური მუშ.",20
"150 — Psychology (Behavioral)","კვლ.+ანალ.+წ.","ფს-ქც.","კვლ.+დ.მ.","-","საბუნ. მეცნ.",46,"ფსიქოლოგია",39,"მონაცემები / სტატ. / AI",35,"ჰუმანიტ. მეცნ.",29,"ბიომედ. მეცნ.",19
"151 — Psychology (Clinical)","დახ.+ანალ.+წ.","ფს-კლ.","დახ.+ადამ.","ფიზ.","ფსიქოლოგია",70,"მედიცინა",42,"სოციალური მუშ.",39,"ექთნობა / მედდა",30,"განათლება / პედ.",27
"152 — Psychology (Social)","დახ.+კომ.+ორგ.","ფს-სოც.","დახ.+ადამ.","-","სოციალური მუშ.",69,"ფსიქოლოგია",47,"განათლება / პედ.",41,"ექთნობა / მედდა",34,"მედიცინა",28
"153 — Psychology (ChildPsych)","დახ.+ანალ.+ორგ.","ბავ-ფს.","ადამ.+დახ.","-","ფსიქოლოგია",70,"განათლება / პედ.",48,"ექთნობა / მედდა",34,"სოციალური მუშ.",30,"მედიცინა",28
"154 — Psychology (MedPsych)","დახ.+ზ.მეცნ.+ანალ.","მედ-ფს.","ადამ.+დახ.","ფიზ.","ფსიქოლოგია",70,"მედიცინა",49,"სოციალური მუშ.",39,"ექთნობა / მედდა",30,"განათლება / პედ.",27
"155 — Psychology (+Research)","დახ.+ანალ.+კვლ.","ფს-თერ.","კვლ.+დახ.","-","ფსიქოლოგია",58,"მედიცინა",39,"სოციალური მუშ.",32,"მონაცემები / სტატ. / AI",23,"საბუნ. მეცნ.",23
"156 — Psychology (EduPsych)","დახ.+ანალ.+ორგ.","სწ-სასწ.ფს.","ადამ.+დახ.","-","ფსიქოლოგია",70,"განათლება / პედ.",48,"სოციალური მუშ.",39,"ექთნობა / მედდა",34,"მედიცინა",28
"157 — SocialWork (Social)","დახ.+კომ.+ორგ.","ფს-სოც.","დახ.+ადამ.","ოფ.","სოციალური მუშ.",69,"ფსიქოლოგია",47,"განათლება / პედ.",41,"ექთნობა / მედდა",34,"მედიცინა",28
"158 — SocialWork (Youth)","დახ.+კომ.+შემ.","ბავ-ახ.","ადამ.+დახ.","-","სოციალური მუშ.",69,"განათლება / პედ.",43,"ფსიქოლოგია",40,"ექთნობა / მედდა",30,"მედიცინა",28
"159 — SocialWork (Sociology)","კვლ.+წ.+ანალ.","სოც-სოც.","კვლ.+დ.მ.","-","სოციალური მუშ.",39,"ჰუმანიტ. მეცნ.",38,"მონაცემები / სტატ. / AI",35,"საბუნ. მეცნ.",32,"ბიომედ. მეცნ.",19
"160 — SocialWork (InfEduc)","დახ.+კომ.+ორგ.","ბავ-ინფ.","ადამ.+დახ.","-","განათლება / პედ.",71,"სოციალური მუშ.",44,"ექთნობა / მედდა",34,"ფსიქოლოგია",31,"მედიცინა",28
"161 — SocialWork (Leadership)","დახ.+ორგ.+ლიდ.","ფს-სოც.","დახ.+ლიდ.","-","სოციალური მუშ.",57,"ფსიქოლოგია",35,"განათლება / პედ.",29,"ბიზ. ადმინისტ.",24,"ექთნობა / მედდა",23
"162 — SocialWork (ChildEduc)","დახ.+კომ.+ორგ.","ბავ-სკ.","ადამ.+დახ.","ოფ.","განათლება / პედ.",71,"ფსიქოლოგია",45,"სოციალური მუშ.",39,"ექთნობა / მედდა",34,"მედიცინა",28
"163 — SocialWork (+Analysis)","დახ.+ანალ.+კომ.","სოც-სოც.","ადამ.+დახ.","-","სოციალური მუშ.",69,"ფსიქოლოგია",45,"ექთნობა / მედდა",30,"მედიცინა",28,"განათლება / პედ.",27
"164 — SocialWork (AltPath)","დახ.+ორგ.+კომ.","ბავ-ახ.","დახ.+სტაბ.","-","სოციალური მუშ.",57,"განათლება / პედ.",48,"ექთნობა / მედდა",36,"ფსიქოლოგია",28,"საზ. ჯანდაცვა",27
"165 — Law (Advocate)","წ.+ანალ.+კომ.","სამ-ადვ.","მ.ხ.+ლიდ.","-","სამართალი",67,"საერთ. ურთ. / პოლიტ.",26,"ბიზ. ადმინისტ.",25,"ფინანსები / ეკონ.",18,"ჟურნალისტ. / მედია",15
"166 — Law (Corporate)","ანალ.+წ.+ლოგ.","სამ-ბიზ.სამ.","მ.ხ.+სტაბ.","ფიზ.","სამართალი",65,"ბიზ. ადმინისტ.",31,"ფინანსები / ეკონ.",31,"მექატრონიკა / რობოტიკა",21,"სტომატოლოგია",19
"167 — Law (Criminal)","ანალ.+წ.+ლოგ.","სამ-კრიმ.","სტაბ.+მ.ხ.","ფიზ.","სამართალი",65,"ფინანსები / ეკონ.",22,"მექატრონიკა / რობოტიკა",21,"სტომატოლოგია",19,"პროგრამული ინჟინ. / IT",18
"168 — Law (HumanRights)","წ.+კომ.+დახ.","სამ-ად.უფ.","ლიდ.+სტაბ.","-","სამართალი",62,"ბიზ. ადმინისტ.",25,"საერთ. ურთ. / პოლიტ.",20,"სოციალური მუშ.",19,"ექთნობა / მედდა",18
"169 — Law (Intl)","ენ.+წ.+ანალ.","სამ-საერთ.","საერთ.+მ.ხ.","-","სამართალი",54,"საერთ. ურთ. / პოლიტ.",41,"ენები / ლინგვ.",25,"ფინანსები / ეკონ.",18,"ტურიზმი / სტუმ.",17
"170 — Law (Constitutional)","წ.+ანალ.+კვლ.","სამ-სახ.","სტაბ.+კვლ.","-","სამართალი",54,"ფარმაცია",27,"მონაცემები / სტატ. / AI",23,"საბუნ. მეცნ.",23,"ჰუმანიტ. მეცნ.",21
"171 — Law (Court)","წ.+ანალ.+კომ.","სას-პრ.","სტაბ.+მ.ხ.","-","სამართალი",69,"ბიზ. ადმინისტ.",32,"მექ. ინჟინერია",18,"ელ. ინჟინ. / ენერგეტ.",18,"ფინანსები / ეკონ.",18
"172 — Law (Mediation)","კომ.+ანალ.+წ.","სას-მოლ.","სტაბ.+ადამ.","-","სამართალი",58,"ექთნობა / მედდა",23,"განათლება / პედ.",23,"ბიზ. ადმინისტ.",22,"მარკეტინგი / PR",18
"173 — Law (HRAdv)","წ.+კომ.+დახ.","სას-ად.უფ.","ლიდ.+სტაბ.","-","სამართალი",62,"ბიზ. ადმინისტ.",25,"საერთ. ურთ. / პოლიტ.",20,"სოციალური მუშ.",19,"ექთნობა / მედდა",18
"174 — Law (Criminology2)","ანალ.+კვლ.+წ.","სას-კრიმ.","სტაბ.+კვლ.","ფიზ.","სამართალი",54,"ფარმაცია",27,"მონაცემები / სტატ. / AI",23,"საბუნ. მეცნ.",23,"ჰუმანიტ. მეცნ.",21
"175 — Business (Manager)","ლიდ.+კომ.+ორგ.","ეკ-მართ.","ლიდ.+მ.ხ.","-","ბიზ. ადმინისტ.",77,"სამართალი",28,"ფინანსები / ეკონ.",26,"საერთ. ურთ. / პოლიტ.",17,"მარკეტინგი / PR",17
"176 — Business (Sales)","გაყ.+კომ.+ლიდ.","ბიზ-გაყ.","ადამ.+მ.ხ.","-","მარკეტინგი / PR",60,"ბიზ. ადმინისტ.",42,"მედიცინა",22,"სამართალი",19,"ტურიზმი / სტუმ.",19
"177 — Business (HRMgr)","კომ.+ლიდ.+ორგ.","ბიზ-HR","ადამ.+სტაბ.","ფიზ.","ბიზ. ადმინისტ.",59,"განათლება / პედ.",28,"ექთნობა / მედდა",27,"ფსიქოლოგია",25,"სოციალური მუშ.",20
"178 — Business (Startup)","ლიდ.+კომ.+გაყ.","ბიზ-სტარტ.","ლიდ.+მ.ხ.","-","ბიზ. ადმინისტ.",77,"სამართალი",28,"მარკეტინგი / PR",27,"ფინანსები / ეკონ.",21,"საერთ. ურთ. / პოლიტ.",17
"179 — Business (ProjMgmt)","ორგ.+ლიდ.+ანალ.","ბიზ-PM","ლიდ.+სტაბ.","-","ბიზ. ადმინისტ.",72,"სამართალი",29,"ბიზნეს-ინფ. სისტემები",28,"საერთ. ურთ. / პოლიტ.",22,"საზ. ჯანდაცვა",17
"180 — Business (Entrepreneur)","ლიდ.+გაყ.+შემ.","ეკ-სტარტ.","ლიდ.+მ.ხ.","-","ბიზ. ადმინისტ.",72,"სამართალი",24,"მარკეტინგი / PR",24,"ფინანსები / ეკონ.",21,"საერთ. ურთ. / პოლიტ.",17
"181 — Business (IntlBiz)","ენ.+კომ.+ორგ.","ეკ-საერთ.","საერთ.+მ.ხ.","-","საერთ. ურთ. / პოლიტ.",57,"ბიზ. ადმინისტ.",41,"ტურიზმი / სტუმ.",26,"ფინანსები / ეკონ.",21,"ენები / ლინგვ.",19
"182 — Business (Mgmt+Anal)","ანალ.+ორგ.+ლიდ.","ბიზ-მართ.","ლიდ.+მ.ხ.","-","ბიზ. ადმინისტ.",72,"ფინანსები / ეკონ.",32,"სამართალი",29,"საერთ. ურთ. / პოლიტ.",22,"პროგრამული ინჟინ. / IT",15
"183 — Business (StablePath)","კომ.+ორგ.+ლიდ.","ბიზ-მართ.","სტაბ.+ადამ.","-","ბიზ. ადმინისტ.",65,"განათლება / პედ.",28,"ექთნობა / მედდა",27,"მარკეტინგი / PR",23,"სამართალი",19
"184 — Business (PubAdmin)","ლიდ.+ორგ.+კომ.","სახ-საჯ.","ლიდ.+სტაბ.","-","საერთ. ურთ. / პოლიტ.",56,"სამართალი",42,"ბიზ. ადმინისტ.",38,"ექთნობა / მედდა",17,"განათლება / პედ.",17
"185 — Finance (Invest)","მათ.+ანალ.+ლოგ.","ეკ-ფინ.","მ.ხ.+ლიდ.","ფიზ.","ფინანსები / ეკონ.",68,"ბიზ. ადმინისტ.",36,"მონაცემები / სტატ. / AI",29,"პროგრამული ინჟინ. / IT",24,"სამართალი",24
"186 — Finance (FinModel)","მათ.+ანალ.+ლოგ.","DATA-ფინ.","მ.ხ.+სტაბ.","-","ფინანსები / ეკონ.",68,"მონაცემები / სტატ. / AI",35,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"ბიზ. ადმინისტ.",26
"187 — Finance (EconAnal)","ანალ.+მათ.+ლოგ.","ეკ-ანალ.","მ.ხ.+სტაბ.","-","ფინანსები / ეკონ.",64,"მონაცემები / სტატ. / AI",35,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"ბიზ. ადმინისტ.",26
"188 — Finance (BizData)","ანალ.+მათ.+კვლ.","DATA-ბიზ.","მ.ხ.+დ.მ.","-","ბიზნეს-ინფ. სისტემები",39,"ფინანსები / ეკონ.",34,"მონაცემები / სტატ. / AI",30,"პროგრამული ინჟინ. / IT",29,"საბუნ. მეცნ.",25
"189 — Finance (no routine)","მათ.+ანალ.+ლიდ.","ეკ-ფინ.","მ.ხ.+ლიდ.","რუტ.","ფინანსები / ეკონ.",50,"ბიზ. ადმინისტ.",34,"მონაცემები / სტატ. / AI",22,"საერთ. ურთ. / პოლიტ.",22,"სამართალი",20
"190 — Finance (Research)","კვლ.+ანალ.+მათ.","DATA-ფინ.","კვლ.+მ.ხ.","-","ფინანსები / ეკონ.",64,"მონაცემები / სტატ. / AI",46,"საბუნ. მეცნ.",29,"მედიცინა",24,"ფარმაცია",20
